Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Villanova,Virginia,0.91,1.21,1.0
Winthrop,William & Mary,1.09,1.08,1.0
Western Mich.,SIUE,0.96,1.25,1.0
Florida St.,Florida,1.1,1.3,1.0
Michigan,TCU,1.12,0.94,1.0
Rutgers,Monmouth,1.45,1.17,1.0
Quinnipiac,Maine,0.84,0.8,1.0
Gardner-Webb,Elon,1.19,1.18,1.0
Boston College,Temple,1.44,1.38,1.0
Iona,Vermont,1.0,0.95,1.0
Purdue,Alabama,1.21,1.08,1.0
Marist,Army West Point,1.38,1.39,1.0
Princeton,Loyola Chicago,0.96,1.03,1.0
Col. of Charleston,Fla. Atlantic,1.35,1.38,1.0
Brown,New Hampshire,1.26,0.89,1.0
Robert Morris,Lindenwood,1.22,0.93,1.0
USC Upstate,UNCW,1.13,1.19,1.0
Air Force,Belmont,1.16,1.3,1.0
High Point,UAB,1.24,1.18,1.0
Cincinnati,Nicholls,1.43,0.76,1.0
Furman,Tulane,1.19,1.06,1.0
South Fla.,West Ga.,1.29,0.98,1.0
Old Dominion,UMES,1.0,0.97,1.0
Fairfield,John Jay,1.4,0.72,1.0
Manhattan,Fordham,1.63,1.22,1.0
Butler,SMU,1.31,1.13,1.0
Penn St.,Virginia Tech,1.32,1.02,1.0
Ga. Southern,N.C. Central,1.05,0.99,1.0
Northwestern,Eastern Ill.,0.92,1.06,1.0
Memphis,Ohio,1.19,0.94,1.0
St. Thomas (MN),St. Norbert,1.73,0.89,1.0
North Carolina,American,1.52,0.94,1.0
Penn,Saint Joseph's,1.0,1.55,1.0
Maryland,Marquette,1.16,1.22,1.0
Georgia Tech,Georgia,0.97,1.08,1.0
Pittsburgh,West Virginia,1.38,0.82,1.0
Iowa,Washington St.,0.94,0.81,1.0
North Ala.,Samford,1.21,1.2,1.0
Wisconsin,Arizona,1.37,1.17,1.0
DePaul,Duquesne,0.73,0.78,
Gonzaga,UMass Lowell,1.74,0.83,1.0
Texas A&M,Ohio St.,1.3,1.0,1.0
UCLA,Lehigh,1.26,0.64,1.0
California Baptist,LIU,1.5,1.28,1.0
Oregon St.,Cal St. Fullerton,1.2,0.91,1.0
Kennesaw St.,Presbyterian,0.8,0.69,
Morgan St.,NJIT,1.25,1.06,1.0
Columbia,Mercyhurst,1.26,1.03,1.0
Duke,Wofford,1.5,0.43,1.0
VMI,Charleston So.,1.11,0.96,1.0
Cornell,Lafayette,1.23,1.08,1.0
Bucknell,Richmond,1.06,1.11,1.0
Xavier,Wake Forest,1.36,1.09,1.0
Seton Hall,Wagner,1.18,0.64,1.0
Longwood,UT Martin,0.98,0.95,1.0
UIC,Saint Mary's (MN),1.73,0.84,1.0
Boston U.,Dartmouth,1.5,0.95,1.0
UNC Greensboro,N.C. Wesleyan,1.33,0.72,1.0
Georgetown,Notre Dame,0.92,1.41,1.0
Syracuse,Youngstown St.,1.04,1.14,1.0
Missouri St.,Tulsa,1.14,1.19,1.0
Western Ill.,Central Ark.,1.19,1.15,1.0
Bethune-Cookman,South Carolina St.,1.14,0.94,1.0
Binghamton,Misericordia,1.65,1.0,1.0
UMBC,Saint Peter's,1.02,1.15,1.0
Drexel,La Salle,1.13,1.18,1.0
Ball St.,Indiana St.,1.38,1.54,1.0
Evansville,Radford,1.33,1.51,1.0
Oklahoma,Stetson,1.4,0.92,1.0
Tennessee Tech,UTRGV,0.93,1.25,1.0
San Diego,Idaho St.,0.99,1.16,1.0
Tuskegee,Fayetteville St.,1.17,1.08,
Vanderbilt,Jackson St.,1.61,1.22,1.0
BYU,Idaho,1.34,1.05,1.0
Canisius,SIUE,0.87,1.24,1.0
Arkansas St.,SFA,0.94,0.78,1.0
Indiana,South Carolina,1.32,1.08,1.0
Rice,Northwestern St.,1.07,1.1,1.0
Cleveland St.,Eastern Mich.,1.18,1.05,1.0
Abilene Christian,Texas St.,1.34,1.02,1.0
Middle Tenn.,Murray St.,1.17,1.5,1.0
UTSA,Little Rock,0.87,1.18,1.0
Detroit Mercy,Toledo,0.94,1.2,1.0
Minnesota,Yale,0.94,0.89,1.0
South Alabama,Mercer,1.09,0.96,1.0
St. Bonaventure,Le Moyne,1.32,0.85,1.0
East Carolina,George Mason,0.99,1.0,1.0
UIW,Ark.-Pine Bluff,1.63,1.22,1.0
Ole Miss,Colorado St.,1.47,1.17,1.0
Houston Christian,Rockford,1.5,1.16,1.0
Sacred Heart,New Hampshire,1.31,1.02,1.0
Providence,Green Bay,1.32,1.08,1.0
Davidson,ETSU,1.33,1.23,1.0
Long Beach St.,Portland,1.03,1.07,1.0
Clark Atlanta,Shaw,1.35,0.98,1.0
Texas,Mississippi Val.,1.42,0.76,1.0
Winthrop,Ga. Southern,0.98,1.18,
Kansas,Oakland,1.55,0.93,1.0
Michigan St.,Bowling Green,1.28,1.07,1.0
Fla. Atlantic,Liberty,1.07,1.12,1.0
Northeastern,Central Conn. St.,1.4,1.08,1.0
Stony Brook,St. Joseph's (L.I.),1.4,0.65,1.0
Creighton,Kansas City,1.33,0.75,1.0
UAlbany,Siena,1.23,1.05,1.0
Wright St.,Central St. (OH),1.79,0.95,1.0
Marshall,Bellarmine,1.31,1.03,1.0
Massachusetts,Hofstra,1.06,1.0,1.0
VCU,Loyola Maryland,1.39,0.83,1.0
Mount St. Mary's,Saint Francis,1.05,0.92,1.0
Dayton,Capital,1.23,0.83,1.0
Purdue Fort Wayne,Southern Ind.,1.62,1.3,1.0
Brown,Holy Cross,1.14,1.28,1.0
William & Mary,N.C. Central,1.12,1.15,1.0
Saint Louis,LMU (CA),1.15,1.06,1.0
Hampton,Norfolk St.,1.14,1.31,1.0
Towson,James Madison,1.14,1.07,1.0
Drake,FGCU,1.24,1.2,1.0
Bradley,NIU,1.41,1.1,1.0
Sacramento St.,CSUN,0.96,1.1,1.0
Tennessee St.,Alabama A&M,1.01,0.89,1.0
Southern Utah,Omaha,1.25,1.16,1.0
Wyoming,Utah Tech,1.35,0.85,1.0
CSU Bakersfield,Fresno St.,1.16,0.88,1.0
UC Irvine,Pepperdine,1.43,1.13,1.0
San Francisco,Chicago St.,1.22,0.61,1.0
Nevada,Santa Clara,2.0,1.11,1.0
UC San Diego,Seattle U,1.22,1.45,1.0
St. John's (NY),New Mexico,1.35,1.1,1.0
William & Mary,Ga. Southern,1.34,1.1,1.0
Western Mich.,Canisius,1.67,1.0,1.0
Lindenwood,Stonehill,1.23,1.21,1.0
Merrimack,Princeton,1.06,1.26,1.0
Navy,Campbell,1.08,1.42,1.0
Saint Mary's (CA),Nebraska,1.18,1.14,1.0
Boise St.,Clemson,1.42,1.15,1.0
FDU,Manhattan,1.52,1.46,1.0
Coastal Carolina,Jacksonville St.,0.72,1.23,1.0
The Citadel,N.C. A&T,1.07,1.21,1.0
Miami (FL),Coppin St.,1.63,1.0,1.0
Colorado,Harvard,1.36,0.98,1.0
Winthrop,N.C. Central,1.22,1.19,1.0
Western Ky.,Lipscomb,0.94,0.87,1.0
Southeast Mo. St.,Chattanooga,1.12,1.19,1.0
Tennessee,Austin Peay,1.7,1.15,1.0
Samford,Texas Southern,1.46,1.08,1.0
Holy Cross,New Hampshire,1.17,1.14,1.0
Denver,Montana St.,1.15,0.91,1.0
Col. of Charleston,Liberty,0.81,1.26,1.0
Stanford,UC Davis,1.09,0.85,1.0
Mississippi St.,Utah,1.22,1.14,1.0
Robert Morris,New Orleans,1.01,0.86,1.0
San Jose St.,UC Santa Barbara,1.04,1.12,1.0
Oregon,Troy,1.16,0.73,1.0
Lamar University,Sam Houston,1.29,1.52,1.0
Brown,Sacred Heart,1.49,1.17,1.0
Eastern Wash.,Cal Poly,0.99,1.04,
Arizona St.,St. Thomas (MN),1.35,1.05,1.0
Baylor,Tarleton St.,1.74,0.63,1.0
Southern California,California,1.0,1.08,1.0
Hawaii,Weber St.,0.94,1.01,1.0
Washington,UMass Lowell,1.28,1.19,1.0
Michigan,Miami (OH),1.45,1.02,1.0
Delaware,Bryant,1.22,1.23,1.0
McNeese,North Texas,1.13,1.02,1.0
FIU,Howard,1.04,1.12,1.0
UMES,Gallaudet,1.65,0.78,1.0
NC State,Colgate,1.24,0.71,1.0
Radford,Southern Va.,1.36,0.74,1.0
High Point,American,1.6,1.46,1.0
Pittsburgh,VMI,1.35,0.76,1.0
George Washington,NJIT,1.42,1.06,1.0
North Florida,UNC Asheville,1.15,1.37,1.0
UAB,AUM,1.5,0.87,1.0
Louisiana Tech,Mississippi Col.,1.55,1.22,1.0
Wichita St.,Monmouth,0.99,0.93,1.0
ULM,Southeastern La.,1.29,1.35,1.0
SMU,Prairie View,1.58,1.1,1.0
Arkansas,Pacific,1.38,1.12,1.0
Southern Ill.,North Dakota St.,1.06,0.7,1.0
Texas Tech,Ark.-Pine Bluff,1.73,0.98,1.0
South Alabama,Spring Hill,1.51,0.98,1.0
Wisconsin,UTRGV,1.43,1.38,1.0
Iowa St.,IU Indy,1.45,0.87,1.0
Utah St.,Montana,1.28,1.12,1.0
Auburn,North Ala.,1.46,0.94,1.0
Washington St.,Northern Colo.,1.28,1.06,1.0
Cal St. Fullerton,Idaho St.,1.05,1.03,1.0
San Diego St.,Gonzaga,1.02,1.28,1.0
Navy,Quinnipiac,0.91,1.07,1.0
Boston College,Loyola Maryland,1.33,1.04,1.0
Binghamton,Longwood,0.97,1.06,1.0
App State,Queens (NC),1.07,0.79,1.0
Chicago St.,Eastern Ky.,0.87,1.39,1.0
Green Bay,SIUE,1.07,0.72,1.0
Minnesota,Cleveland St.,0.94,0.76,1.0
Louisville,Bellarmine,1.6,1.1,1.0
West Ga.,Troy,1.06,1.49,1.0
UConn,East Texas A&M,1.29,0.71,1.0
Northern Ky.,Cincinnati,0.93,1.22,1.0
Fairfield,Drexel,0.94,1.03,1.0
Ohio St.,Evansville,1.22,0.6,1.0
Kentucky,Lipscomb,1.53,0.88,1.0
Georgia,Alabama A&M,1.41,0.73,1.0
Fordham,Georgian Court,1.41,0.84,1.0
Vermont,Buffalo,1.28,1.1,1.0
USC Upstate,Southern Wesleyan,1.33,0.88,1.0
Providence,Delaware St.,1.33,0.83,1.0
UCF,Tennessee Tech,1.23,1.06,1.0
Marist,Dartmouth,1.18,0.89,1.0
Boston U.,Wagner,1.02,1.05,1.0
Maryland,Canisius,1.98,0.6,1.0
Duquesne,Milwaukee,1.14,1.23,1.0
Old Dominion,Randolph-Macon,1.15,0.89,1.0
Mercyhurst,Mount Aloysius,1.33,0.75,1.0
Wake Forest,Western Caro.,1.32,0.92,1.0
Notre Dame,North Dakota,1.39,1.08,1.0
Bowling Green,Niagara,1.35,1.04,1.0
Florida,Florida A&M,1.23,0.79,1.0
UMBC,Hampton,1.19,1.37,1.0
Villanova,Penn,1.55,0.93,1.0
Florida St.,Hofstra,1.19,0.94,1.0
Charlotte,Gardner-Webb,0.91,0.82,1.0
Tulane,Bethune-Cookman,1.02,0.74,1.0
Belmont,Oral Roberts,1.34,1.19,1.0
Kansas,UNCW,1.39,1.11,1.0
TCU,Alcorn,1.14,0.73,1.0
LSU,Charleston So.,1.17,1.03,1.0
Kansas St.,Mississippi Val.,1.21,0.91,1.0
Iowa,Rider,1.43,0.92,1.0
UNI,Western Ill.,1.29,0.82,1.0
Michigan St.,Samford,1.2,1.09,1.0
Missouri St.,UT Arlington,1.28,1.11,1.0
Loyola Chicago,Southern Utah,1.12,1.06,1.0
Louisiana,Rice,1.04,1.37,1.0
Marquette,Purdue,1.19,0.91,1.0
DePaul,Eastern Ill.,1.28,1.13,1.0
Northwestern,Montana St.,1.12,1.08,1.0
Santa Clara,UC Riverside,1.4,0.78,1.0
The Citadel,Col. of Charleston,1.0,1.31,1.0
Holy Cross,Mitchell,1.36,0.74,1.0
Xavier,Siena,1.22,0.78,1.0
Stony Brook,Yale,0.91,1.29,1.0
St. Bonaventure,Mansfield,1.24,0.9,1.0
Morehead St.,Austin Peay,1.0,0.92,1.0
George Mason,Coppin St.,1.6,0.72,1.0
Saint Peter's,Saint Elizabeth,1.61,0.72,1.0
NIU,Elon,0.8,1.19,1.0
Virginia Tech,Jacksonville,1.02,1.17,1.0
West Virginia,Iona,1.33,0.71,1.0
Kennesaw St.,Abilene Christian,1.29,1.2,1.0
Penn St.,Purdue Fort Wayne,1.42,1.24,1.0
Western Mich.,South Dakota,1.07,1.13,1.0
Richmond,Maine,1.08,1.02,1.0
Furman,Oglethorpe,1.8,0.62,1.0
Dayton,New Mexico St.,1.31,0.85,1.0
Ball St.,Detroit Mercy,0.95,1.13,1.0
LIU,Columbia,1.09,1.21,1.0
Lehigh,Valley Forge,1.45,0.87,1.0
N.C. A&T,Morgan St.,1.1,1.06,1.0
Central Mich.,Central St. (OH),1.49,0.7,1.0
Army West Point,FDU,1.18,0.99,1.0
New Hampshire,Endicott,1.28,1.0,1.0
Rhode Island,Lafayette,1.23,0.98,1.0
Nicholls,Towson,1.0,1.09,1.0
Murray St.,UMES,1.21,0.95,1.0
Tulsa,Little Rock,0.83,1.15,1.0
South Dakota St.,Southern Miss.,1.27,0.81,1.0
Rutgers,Merrimack,1.21,1.03,1.0
Western Ky.,Jackson St.,1.21,0.86,1.0
Texas A&M,Southern U.,1.13,0.85,1.0
Georgetown,Mount St. Mary's,1.23,0.68,1.0
Arizona St.,Cal Poly,1.39,1.33,1.0
Grand Canyon,UC Davis,0.88,0.97,1.0
Gonzaga,Long Beach St.,1.41,0.72,1.0
Alabama,Illinois,1.37,1.19,1.0
UNLV,Pepperdine,1.6,0.77,1.0
Saint Mary's (CA),Stanislaus St.,1.18,0.45,1.0
Fresno St.,Prairie View,1.24,1.09,1.0
Stanford,Norfolk St.,1.37,1.24,1.0
UC Santa Barbara,UTEP,1.29,1.34,1.0
Southern California,San Jose St.,1.41,1.11,1.0
California Baptist,Northern Colo.,0.93,1.08,1.0
UCLA,Idaho St.,1.67,1.05,1.0
UIC,James Madison,1.15,1.42,1.0
Middle Tenn.,Ohio,1.09,1.12,1.0
Drake,Miami (FL),1.31,1.13,1.0
UC San Diego,La Salle,0.97,0.91,1.0
Portland,South Fla.,1.08,1.17,1.0
Fla. Atlantic,Oklahoma St.,1.1,1.0,1.0
Jacksonville St.,East Carolina,1.34,1.22,1.0
Monmouth,Youngstown St.,0.91,1.06,1.0
VCU,Seton Hall,0.9,0.86,1.0
Texas St.,Bradley,0.96,1.19,1.0
Stetson,Toledo,1.2,1.76,1.0
Cornell,Robert Morris,1.29,1.46,1.0
Indiana,UNC Greensboro,1.05,0.88,1.0
North Florida,Edward Waters,1.59,0.98,1.0
Bucknell,NJIT,1.25,0.92,1.0
Kent St.,Niagara,1.25,1.2,1.0
South Carolina,Mercer,1.35,1.16,1.0
Oakland,Eastern Mich.,1.0,1.06,1.0
Clemson,Radford,1.05,0.65,1.0
Stonehill,Bryant,1.1,1.08,1.0
St. John's (NY),Baylor,1.19,1.18,1.0
Texas,Syracuse,1.17,1.1,1.0
Central Ark.,Southeast Mo. St.,1.35,1.28,1.0
SFA,Presbyterian,0.83,0.79,1.0
Nevada,Vanderbilt,1.15,1.18,1.0
Sam Houston,Trinity (TX),1.58,1.11,1.0
Valparaiso,Lindenwood,1.08,0.9,1.0
Sacred Heart,Central Conn. St.,1.2,0.78,1.0
Wright St.,Princeton,1.47,1.08,1.0
North Dakota St.,Minn.-Crookston,1.12,1.0,1.0
Western Ill.,Monmouth (IL),1.29,0.81,1.0
Ole Miss,Oral Roberts,1.33,0.9,1.0
Oklahoma,East Texas A&M,1.15,0.85,1.0
A&M-Corpus Christi,UT Martin,1.21,1.15,1.0
Michigan,Tarleton St.,1.37,0.96,1.0
New Mexico,Grambling,1.07,0.76,1.0
Saint Joseph's,Texas Tech,1.3,1.28,1.0
Washington St.,Eastern Wash.,1.28,0.98,1.0
Tennessee,Virginia,1.06,0.73,1.0
California,Air Force,1.32,1.17,1.0
Oregon St.,Oregon,1.32,1.37,1.0
San Francisco,Memphis,0.91,0.97,1.0
FGCU,CSU Bakersfield,1.47,0.93,1.0
UIC,La Salle,1.45,1.07,1.0
Portland,Ohio,1.03,1.33,1.0
Fla. Atlantic,Drake,1.0,1.19,1.0
UAB,Longwood,1.14,1.25,1.0
Stetson,East Carolina,0.97,1.08,1.0
FIU,Northeastern,0.88,0.91,1.0
UAlbany,P.R.-Mayaguez,1.4,0.73,1.0
Oklahoma St.,Miami (FL),1.27,0.96,1.0
South Fla.,Middle Tenn.,1.42,1.53,1.0
Pittsburgh,LSU,1.17,1.0,1.0
McNeese,Illinois St.,1.25,1.11,1.0
UC San Diego,James Madison,1.28,1.18,1.0
Youngstown St.,Presbyterian,0.69,1.12,1.0
American,Kansas City,1.1,1.03,1.0
Wofford,St. Thomas (MN),1.35,1.22,1.0
Coastal Carolina,IU Indy,1.45,1.05,1.0
Wright St.,Bradley,1.3,1.35,1.0
Vanderbilt,Seton Hall,1.3,0.93,1.0
Wisconsin,UCF,1.15,0.83,1.0
Florida St.,Temple,1.32,1.17,1.0
Liberty,Louisiana,1.56,1.1,1.0
Utah,Utah Tech,1.15,0.68,1.0
Jacksonville St.,Toledo,1.33,1.37,1.0
SFA,Monmouth,1.09,1.02,1.0
Akron,Lamar University,1.1,1.0,1.0
Ohio St.,Campbell,2.02,1.0,1.0
Le Moyne,UT Martin,0.83,0.68,1.0
Texas Tech,Syracuse,1.23,1.16,1.0
St. John's (NY),Virginia,1.68,1.05,1.0
ETSU,USC Upstate,1.32,1.15,1.0
Florida,Southern Ill.,1.48,0.88,1.0
Harvard,Colgate,1.24,1.06,1.0
Louisville,Winthrop,1.06,0.8,1.0
Butler,Merrimack,1.4,0.79,1.0
Fordham,Drexel,1.16,1.2,1.0
Manhattan,Army West Point,1.23,1.22,1.0
Buffalo,Morgan St.,1.24,1.11,1.0
Davidson,VMI,1.62,1.15,1.0
Georgia St.,N.C. Central,1.45,1.15,1.0
Indiana St.,Chicago St.,1.36,0.91,1.0
Kentucky,Jackson St.,1.39,0.75,1.0
NC State,William & Mary,1.21,0.93,1.0
Southeast Mo. St.,UNC Asheville,0.98,1.11,1.0
Nevada,VCU,1.07,1.02,1.0
Princeton,Texas St.,1.31,1.36,1.0
Notre Dame,Elon,1.2,1.31,1.0
Missouri,Pacific,1.57,0.94,1.0
Tulane,New Orleans,1.11,1.04,1.0
Northwestern St.,ULM,0.98,1.02,1.0
Northwestern,Pepperdine,1.22,0.73,1.0
Iowa,Utah St.,0.97,1.08,1.0
Kansas St.,George Washington,1.08,0.92,1.0
Northern Ariz.,UIW,1.25,1.23,1.0
Houston,Hofstra,1.57,0.71,1.0
Evansville,Green Bay,1.48,0.96,1.0
Milwaukee,Portland St.,1.39,1.0,1.0
Southern Ind.,South Dakota,1.21,1.09,1.0
Murray St.,Utah Valley,1.27,1.31,1.0
Houston Christian,Rice,0.92,0.97,1.0
Creighton,Nebraska,0.86,1.11,1.0
Alabama A&M,South Carolina St.,1.01,1.19,1.0
Arkansas St.,Lane,1.52,0.83,1.0
Alabama St.,Omaha,1.09,0.86,1.0
SMU,Mississippi St.,1.1,1.17,1.0
Wyoming,Southeastern La.,1.12,1.07,1.0
Colorado St.,UC Riverside,0.99,0.96,1.0
Weber St.,UC Irvine,1.47,1.58,1.0
Grand Canyon,Norfolk St.,1.86,1.38,1.0
Saint Joseph's,Texas,0.95,1.1,1.0
Arkansas,Little Rock,1.08,0.92,1.0
Baylor,Tennessee,1.09,1.52,1.0
Washington,Alcorn,1.25,0.97,1.0
UCLA,Cal St. Fullerton,1.15,0.64,1.0
LMU (CA),North Dakota,1.07,1.13,1.0
San Diego,Southern Utah,0.96,1.03,1.0
Arizona,Duke,0.81,1.01,1.0
Saint Louis,Wichita St.,0.87,1.13,1.0
Hawaii,North Carolina,1.06,1.4,1.0
Marquette,Georgia,1.16,1.0,1.0
Stetson,La Salle,1.11,1.37,1.0
CSU Bakersfield,FIU,1.1,1.06,1.0
Purdue,Marshall,1.38,0.72,1.0
Monmouth,Presbyterian,0.96,1.28,1.0
Georgetown,Saint Francis,1.3,1.03,1.0
Ga. Southern,West Ga.,1.0,0.84,1.0
UMBC,Boston U.,1.09,1.15,1.0
Vermont,Delaware,1.23,1.16,1.0
Charlotte,LIU,1.27,1.32,1.0
Canisius,Brown,1.15,1.26,1.0
UMass Lowell,Quinnipiac,1.1,0.96,1.0
FGCU,Northeastern,0.87,0.94,1.0
Northern Ky.,Kentucky St.,1.28,0.79,1.0
Portland St.,St. Thomas (MN),0.76,1.33,1.0
UIC,East Carolina,0.91,1.21,1.0
Kansas City,UAlbany,1.07,1.1,1.0
IU Indy,South Carolina St.,1.05,1.22,1.0
George Mason,Ferrum,1.88,1.1,1.0
Georgia Tech,Cincinnati,0.85,1.2,1.0
Charleston So.,Furman,0.79,1.23,1.0
Marist,New Hampshire,0.89,0.8,1.0
Yale,Fairfield,1.67,1.14,1.0
Illinois St.,UAB,1.29,1.28,1.0
Bellarmine,Bowling Green,1.31,1.0,1.0
Jacksonville St.,James Madison,1.25,1.37,1.0
Milwaukee,Wofford,1.23,1.19,1.0
Illinois,UMES,1.22,0.44,1.0
P.R.-Bayamon,American,0.74,1.09,1.0
Wake Forest,Detroit Mercy,0.96,0.81,1.0
Wagner,Springfield,1.19,0.72,1.0
Mount St. Mary's,Delaware St.,1.13,0.99,1.0
Akron,Omaha,1.44,1.31,1.0
A&M-Corpus Christi,Le Moyne,1.31,0.82,1.0
North Ala.,ULM,1.32,1.11,1.0
Long Beach St.,Fresno St.,0.99,1.03,1.0
DePaul,NIU,1.58,0.73,1.0
Southern Utah,Idaho,1.6,1.23,1.0
Alabama A&M,Coastal Carolina,1.26,1.15,1.0
Temple,Massachusetts,1.18,1.08,1.0
UC San Diego,Toledo,1.31,0.69,1.0
George Washington,Louisiana,1.15,1.03,1.0
Queens (NC),USC Upstate,1.6,1.21,1.0
Loyola Chicago,Tulsa,1.27,0.73,1.0
Alabama St.,Lamar University,1.18,1.15,1.0
Cleveland St.,Kent St.,0.94,1.27,1.0
SFA,Youngstown St.,1.05,0.93,1.0
UNLV,New Mexico St.,1.01,0.92,1.0
Bucknell,Rider,0.95,1.02,1.0
Columbia,Stony Brook,1.52,0.89,1.0
Saint Mary's (CA),Cal Poly,1.18,0.94,1.0
Northern Colo.,Prairie View,1.68,1.36,1.0
California Baptist,Eastern Wash.,1.45,1.13,1.0
BYU,Mississippi Val.,1.82,1.0,1.0
Santa Clara,Stanford,1.1,1.13,1.0
Princeton,Portland,1.65,0.87,1.0
Boise St.,Hampton,1.38,1.15,1.0
Georgia,St. John's (NY),1.14,1.09,1.0
Howard,Boston U.,0.97,1.08,1.0
Maine,Holy Cross,1.38,0.88,1.0
Rhode Island,Col. of Charleston,1.23,0.6,1.0
Lamar University,Omaha,1.07,1.18,1.0
Portland St.,Wofford,1.36,1.28,1.0
UAlbany,American,1.2,1.27,1.0
Northeastern,CSU Bakersfield,0.9,1.01,1.0
VCU,Miami (FL),1.5,1.17,1.0
Maryland,Villanova,1.46,1.44,1.0
Wright St.,South Fla.,1.16,1.18,1.0
Fairfield,Vermont,1.16,1.14,1.0
Lafayette,Rosemont,1.4,0.69,1.0
App State,William & Mary,1.52,1.46,1.0
Central Conn. St.,Binghamton,1.23,1.08,1.0
Kennesaw St.,Rutgers,1.08,1.05,1.0
Duquesne,South Dakota St.,1.03,1.22,1.0
St. Bonaventure,Bryant,1.34,1.08,1.0
Valparaiso,Eastern Ill.,1.62,0.95,1.0
Central Ark.,UNC Asheville,1.02,1.14,1.0
Milwaukee,St. Thomas (MN),1.05,0.98,1.0
Northwestern St.,North Ala.,1.22,0.9,1.0
Akron,Alabama St.,1.39,1.05,1.0
UCF,LSU,1.09,1.02,1.0
FGCU,FIU,0.94,0.92,1.0
Nevada,Oklahoma St.,1.45,1.26,1.0
Massachusetts,Florida St.,1.02,1.53,1.0
P.R.-Rio Piedras,Kansas City,0.91,1.35,1.0
Evansville,Campbell,1.14,0.86,1.0
Utah Tech,CSUN,1.3,1.46,1.0
California,Sacramento St.,1.41,1.31,1.0
Air Force,Mercyhurst,1.49,0.88,1.0
Morgan St.,Towson,0.88,0.94,1.0
High Point,Missouri St.,1.02,1.18,1.0
Lipscomb,Jackson St.,1.14,0.76,1.0
ETSU,Queens (NC),1.38,1.05,1.0
Missouri,Ark.-Pine Bluff,1.52,0.69,1.0
UC Riverside,Alcorn,1.24,0.92,1.0
Pittsburgh,Wisconsin,1.14,1.23,1.0
McNeese,Longwood,1.33,1.02,1.0
Bradley,Middle Tenn.,1.38,1.19,1.0
Delaware,Yale,1.45,1.36,1.0
Seton Hall,Fla. Atlantic,0.95,0.92,1.0
Montana,Denver,1.2,1.06,1.0
Southern California,Grambling,1.19,1.03,1.0
Boston College,Old Dominion,1.43,0.84,1.0
Montana St.,Southern Miss.,1.14,0.83,1.0
New Mexico,Texas Southern,1.43,0.89,1.0
Kansas St.,Liberty,1.07,1.1,1.0
Texas St.,Ohio,1.32,1.16,1.0
San Diego,Idaho,1.1,0.98,1.0
Vanderbilt,Drake,1.0,1.16,1.0
Chicago St.,Radford,0.73,1.02,1.0
Duquesne,Hampton,1.0,1.08,1.0
Miami (OH),Siena,1.03,0.85,1.0
Ball St.,Eastern Ky.,0.91,0.88,1.0
UMBC,Howard,1.51,1.22,1.0
Louisiana,UAB,1.19,1.36,1.0
Purdue Fort Wayne,Drexel,1.45,1.35,1.0
South Dakota St.,Boise St.,1.24,1.26,1.0
Jacksonville,Mercer,1.15,1.14,1.0
UConn,Memphis,1.3,1.28,1.0
George Washington,Illinois St.,1.22,1.08,1.0
Louisiana Tech,Southern Ill.,1.08,1.0,1.0
Alabama A&M,IU Indy,1.28,1.35,1.0
Fordham,Penn St.,0.95,1.28,1.0
CSUN,Denver,1.45,0.98,1.0
Michigan St.,Colorado,1.33,0.96,1.0
Old Dominion,High Point,1.18,1.28,1.0
Kansas St.,Longwood,1.25,0.93,1.0
Virginia Tech,Michigan,0.9,1.16,1.0
UMass Lowell,Merrimack,1.11,1.01,1.0
Richmond,Florida Tech,1.06,0.9,1.0
Winthrop,LIU,1.38,1.02,1.0
San Francisco,Clemson,0.9,1.22,1.0
Buffalo,N.C. A&T,1.11,1.09,1.0
Stonehill,East Texas A&M,1.26,1.23,1.0
Iona,Cornell,0.97,1.2,1.0
Ohio St.,Green Bay,1.49,1.07,1.0
Navy,Washington Col.,1.6,0.78,1.0
Columbia,New Hampshire,1.31,0.82,1.0
Chattanooga,Tennessee St.,1.13,1.04,1.0
Nicholls,Mississippi Col.,1.35,0.63,1.0
UTRGV,Le Moyne,1.41,1.15,1.0
Boston College,Missouri St.,1.1,1.13,1.0
Montana,Utah Tech,1.08,1.03,1.0
Minnesota,Central Mich.,1.1,1.05,1.0
Saint Louis,Quinnipiac,1.04,0.86,1.0
Troy,UTSA,1.27,1.0,1.0
South Alabama,UIW,1.3,0.91,1.0
Southern Ind.,Indiana St.,1.34,1.18,1.0
Houston Christian,Eastern Mich.,1.16,1.17,1.0
Arkansas,UMES,1.85,0.46,1.0
North Texas,Oregon St.,1.07,1.02,1.0
Liberty,McNeese,1.05,0.98,1.0
South Carolina,Xavier,0.99,1.12,1.0
Oral Roberts,Rogers St.,1.19,1.21,1.0
San Jose St.,UTEP,1.29,1.18,1.0
Southern Miss.,Abilene Christian,1.16,1.28,1.0
Iowa St.,Auburn,1.21,1.24,1.0
UC Davis,Norfolk St.,0.98,1.39,1.0
Illinois,Little Rock,1.44,0.54,1.0
Long Beach St.,UNC Greensboro,0.77,1.3,1.0
North Carolina,Dayton,1.28,1.25,1.0
Chicago St.,Drexel,1.11,1.39,1.0
Siena,Jacksonville,0.96,1.12,1.0
Old Dominion,Duquesne,0.78,0.97,1.0
Southern Ill.,Eastern Ky.,0.82,1.1,1.0
