Home_Team,Away_Team,Home_ppp,Away_ppp,Division
SFA,Dallas,1.4,0.92,1.0
North Carolina,Elon,1.29,1.09,1.0
Utah,Alcorn,1.36,0.82,1.0
Grand Canyon,Cal St. Fullerton,1.54,1.17,1.0
New Mexico St.,N.M. Highlands,1.18,0.52,1.0
New Mexico,Nicholls,1.17,1.08,1.0
Montana,Hawaii Hilo,1.53,0.87,1.0
Colorado,Eastern Wash.,1.16,0.88,1.0
UTEP,Sul Ross St.,1.47,0.68,1.0
St. Thomas (MN),North Central (MN),1.33,1.02,1.0
South Dakota,Southern U.,1.3,1.02,1.0
Oklahoma St.,Green Bay,1.62,1.21,1.0
Alabama,UNC Asheville,1.69,0.98,1.0
Oklahoma,Lindenwood,1.49,1.02,1.0
Air Force,North Ala.,0.59,1.18,1.0
Colorado St.,North Dakota,1.57,0.95,1.0
Wyoming,Concordia-St. Paul,1.5,1.23,1.0
Texas,Ohio St.,1.06,1.18,1.0
Long Beach St.,La Verne,1.48,0.76,1.0
California Baptist,UIW,1.26,1.18,1.0
San Jose St.,Western Ill.,0.96,1.04,1.0
Saint Mary's (CA),Towson,1.15,1.05,1.0
Nevada,Sam Houston,1.48,1.22,1.0
Arizona,Canisius,1.62,1.0,1.0
Pacific,Jessup,1.42,0.92,1.0
Southern California,Chattanooga,1.21,0.75,1.0
UC Santa Barbara,San Fran. St.,1.33,0.77,1.0
Oregon St.,Utah Tech,1.37,1.06,1.0
Northern Colo.,Colorado Col.,1.16,0.86,1.0
UCLA,Rider,1.38,0.88,1.0
Oregon,UC Riverside,1.35,1.11,1.0
Washington St.,Portland St.,1.53,1.25,1.0
UC Irvine,Chapman,1.21,0.91,1.0
California,CSU Bakersfield,1.14,0.89,1.0
UNLV,Alabama St.,1.35,1.14,1.0
Gonzaga,Baylor,1.47,0.94,1.0
Colgate,SUNY Canton,1.67,1.12,1.0
Rice,FIU,1.4,1.27,1.0
Kansas St.,New Orleans,1.38,0.98,1.0
Texas Tech,Bethune-Cookman,1.7,0.91,1.0
North Texas,Evansville,1.31,1.0,1.0
BYU,Central Ark.,1.42,0.82,1.0
Arizona St.,Idaho St.,0.77,0.68,1.0
San Francisco,Cal Poly,1.12,1.01,1.0
Washington,UC Davis,1.01,0.94,1.0
Rutgers,Wagner,1.16,0.76,1.0
Morgan St.,Mercyhurst,1.09,1.16,1.0
New Hampshire,UMass Boston,1.4,1.04,1.0
High Point,Coppin St.,1.28,0.75,1.0
UConn,Sacred Heart,1.33,0.78,1.0
Virginia,Campbell,1.18,1.02,1.0
Notre Dame,Stonehill,1.54,1.02,1.0
Richmond,Mount Olive,1.37,0.81,1.0
Le Moyne,CSUN,0.98,1.28,1.0
Villanova,Columbia,1.21,1.36,1.0
Cleveland St.,Baldwin Wallace,1.38,0.87,1.0
USC Upstate,Piedmont,1.46,0.95,1.0
Georgetown,Lehigh,1.31,1.18,1.0
Georgia Tech,West Ga.,1.6,1.08,1.0
South Dakota,East Texas A&M,1.3,1.03,1.0
Auburn,Vermont,1.69,0.56,1.0
Eastern Ill.,Earlham,1.43,0.72,1.0
Arkansas,Lipscomb,1.32,1.02,1.0
Minnesota,Oral Roberts,1.35,0.81,1.0
LSU,ULM,1.41,0.78,1.0
Indiana,SIUE,1.27,0.91,1.0
